exp_id,subject_id,cre_line,depth,num_seqs,num_ROIs,num_timepoints,targeted_structure,mlp_orientation_accs,mlp_temp_freq_accs
652096183,355474,Slc17a7-IRES2-Cre,375,628,120,58275,VISpm,63.34166666666670,46.4
696156783,379899,Vip-IRES-Cre,275,628,17,58296,VISpm,17.841666666666700,37.533333333333300
501933264,225036,Cux2-CreERT2,175,628,217,56622,VISal,76.45833333333330,54.32500000000000
712178483,388804,Pvalb-IRES-Cre,275,628,6,56622,VISp,22.44166666666670,41.70833333333330
580051759,300663,Rbp4-Cre_KL100,375,628,13,56754,VISrl,33.700000000000000,30.325000000000000
691197571,379348,Vip-IRES-Cre,275,628,21,56769,VISpm,23.100000000000000,35.841666666666700
575970700,296708,Emx1-IRES-Cre,275,628,168,56624,VISpm,32.95000000000000,39.008333333333400
670721589,366424,Slc17a7-IRES2-Cre,375,628,126,56623,VISpm,48.650000000000000,42.09166666666670
647143225,348105,Ntsr1-Cre_GN220,550,628,72,56609,VISl,63.82500000000000,50.29166666666670
707006626,382421,Cux2-CreERT2,175,628,35,56623,VISam,50.43333333333330,47.03333333333330
602866800,317644,Vip-IRES-Cre,275,628,8,56756,VISl,17.73333333333330,23.55000000000000
643645390,337458,Tlx3-Cre_PL56,375,628,127,56621,VISp,77.10000000000010,66.575
663485329,365255,Slc17a7-IRES2-Cre,175,628,107,58270,VISp,61.96666666666670,49.783333333333300
647598519,351413,Vip-IRES-Cre,175,628,18,56612,VISpm,31.925,42.81666666666670
505845219,229109,Cux2-CreERT2,275,628,232,56616,VISpm,58.158333333333300,50.091666666666700
601805379,316777,Sst-IRES-Cre,375,628,9,56754,VISl,39.95833333333330,41.850000000000000
659491419,361002,Nr5a1-Cre,350,628,35,56764,VISp,23.833333333333300,40.55000000000000
707923645,384940,Slc17a7-IRES2-Cre,175,628,192,56762,VISl,70.13333333333330,65.0416666666667
529688779,244898,Cux2-CreERT2,275,628,115,56753,VISl,74.39166666666670,57.25833333333330
502115959,222424,Cux2-CreERT2,175,628,205,56616,VISp,66.30000000000000,54.39166666666670
